,timestamp,open,high,low,close,volume,bb_upper,bb_middle,bb_lowerband,macd,macd_signal,macdhist,macd_useful,rsi,stochastic_k,stochastic_d,useful_stochastic,returns
4088,2005-05-02,393.9641,400.094,391.983,399.1596,4981254,412.4149223147602,402.27691999999996,392.13891768523973,-3.836925167825825,-3.6286270812247152,-0.20829808660110993,1.0574041040697977,44.70597420442685,23.4407056114315,35.66148542235341,0.6573115318617195,0.20582443714243626
4087,2005-05-03,399.197,406.0744,397.7019,404.2056,7366639,409.3745776491743,401.30508,393.23558235082567,-3.4541985660806063,-3.5937413781958933,0.13954281211528707,0.9611706026032014,48.19108824311388,27.051259522403626,26.12705882805047,1.035373315474795,0.18041412588049255
4086,2005-05-04,403.6823,407.3454,403.0095,404.4299,4741894,409.9725691228598,401.58916,393.2057508771402,-3.0970845782052265,-3.49441001819776,0.39732543999253345,0.8862968461275607,48.34693636710347,51.546395519702116,34.01278688451239,1.5155004997009993,0.19242123295038294
4085,2005-05-05,407.4948,408.9152,402.3741,404.1682,3926217,409.161998811313,401.29014,393.418281188687,-2.8028763588931156,-3.356103286336831,0.5532269274437156,0.8351579554491125,48.16488799660919,66.45653965552849,48.35139823254472,1.3744491800610934,0.13539264098461956
4084,2005-05-06,403.6823,411.4569,403.6823,410.2609,8311586,411.481561080251,404.44484,397.408118919749,-2.054402382407602,-3.0957631055509855,1.0413607231433835,0.663617438531996,52.6363896110974,82.28165034346058,66.76152850623038,1.232471038103656,0.1308306494720799
4083,2005-05-09,408.9152,414.8209,408.3545,413.737,5743209,415.24978953387523,407.36032000000006,399.4708504661249,-1.1672834278118103,-2.7100671700031507,1.5427837421913404,0.43072121633444727,55.020420574617276,86.49718135414491,78.41179045104464,1.103114478786813,0.14364439245220995
4082,2005-05-10,413.7744,416.5403,405.925,406.523,4591581,415.1711499908331,407.8238,400.4764500091669,-1.034420618053673,-2.3749378596132553,1.3405172415595823,0.43555691946488334,49.45675209989508,72.27140090344278,80.35007753368274,0.8994565173026327,0.17359313003200305
4081,2005-05-11,405.925,409.1021,403.7945,405.4764,5950462,415.0332221109241,408.0331,401.0329778890759,-1.0020270136215004,-2.1003556904149043,1.098328676793404,0.47707491554611875,48.687542897584024,48.285021967071394,69.01786807488635,0.6996017598613851,0.1627951713096003
4080,2005-05-12,387.9835,404.7663,387.9835,402.9348,9965743,415.3760493837071,407.78642,400.19679061629296,-1.167977015691747,-1.9138799554702728,0.7459029397785257,0.6102666012846951,46.78456969275805,34.514327926233015,51.690250265582385,0.6677144674072928,0.19127982988811087
4079,2005-05-13,403.2338,403.2338,399.2717,400.8415,3431114,414.68283320657036,405.90254,397.1222467934296,-1.4516714387873435,-1.821438252133687,0.3697668133463434,0.7969918481105864,45.217004684503756,39.760573139377136,40.8533076775605,0.9732522383056985,0.2431928829724468
4078,2005-05-16,400.8415,406.2987,400.8415,403.8319,4911032,407.88672075735167,403.92152,399.9563192426483,-1.4188454575797778,-1.7409196932229052,0.3220742356431274,0.814997649290254,47.90248764659679,50.960074891677856,41.74499198576265,1.2207470277885801,0.22408309001839632
4077,2005-05-17,404.0935,406.6724,392.469,393.2164,7644587,409.8426144211164,401.26019999999994,392.67778557888346,-2.2237784300515386,-1.8374914405886318,-0.38628698946290685,1.2102251912200264,40.342291776103636,41.767499793263816,44.162715941439586,0.945763839539401,0.2638783631608448
4076,2005-05-18,407.4201,407.4201,392.4316,396.1319,7941349,407.5463710123038,399.39129999999994,391.2362289876961,-2.596506218397792,-1.9892943961504639,-0.6072118222473282,1.3052397993089206,43.00292390750237,40.73313870242095,44.48690446245419,0.9156208820238028,0.2810912223933495
4075,2005-05-19,397.2906,399.9444,390.6373,391.8709,5505774,406.24050769752915,397.17851999999993,388.1165323024707,-3.19884843184974,-2.231205203290319,-0.967643228559421,1.43368634455157,40.18235433425483,24.683994586847778,35.72821102751083,0.6908824672984893,0.2948297513288176
4074,2005-05-20,390.0766,393.5901,385.3297,389.0302,8050651,404.9247064124512,394.81625999999994,384.7078135875487,-3.860923403279571,-2.5571488432881693,-1.303774559991402,1.5098547796361017,38.37522877275691,22.008324404919943,29.1418192313962,0.7552144987986569,0.3253261571980788
4073,2005-05-23,389.8525,398.2999,389.8525,397.0289,3373859,399.25798439297887,393.45565999999997,387.65333560702106,-3.6975710486644857,-2.7852332843634326,-0.9123377643010531,1.3275624233786825,45.770697261469934,25.68752173402792,24.126613575265193,1.064696529162426,0.2943896527431631
4072,2005-05-24,399.1221,400.6921,394.0761,396.5432,5743592,400.40406694923655,394.12101999999993,387.8379730507633,-3.566196171986917,-2.9414258618881295,-0.6247703100987874,1.2124038950612004,45.41429835884176,40.158017358973424,29.284621165973743,1.3713005584526274,0.30276146457687325
4071,2005-05-25,396.5805,399.0474,393.4034,396.5805,6661496,400.61767398196486,394.21074,387.8038060180351,-3.4196512267610615,-3.037070934862716,-0.3825802918983454,1.1259701535142574,45.449427986795975,58.986128059720876,41.61055571757405,1.4175760703625575,0.3164938770312713
